Estado,Sector ,Tipo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ciudad de Mexico,Secundaria, PRIVADO,"74,249","76,081","76,350","75,538","74,658","75,420","72,693","72,037","70,613","68,802","68,544","68,552","69,934","71,674","73,065","73,920","73,160","72,279","71,441","70,264","65,967","63,190","62,939","64,017","64,168"
Ciudad de Mexico,Bachillerato, TOTAL,"339,113","357,116","355,412","343,975","356,757","358,799","363,063","370,573","369,458","385,663","387,690","391,711","389,184","456,346","469,261","472,049","475,684","475,507","469,345","464,874","453,827","458,868","451,293","448,464","454,655"
Ciudad de Mexico,Bachillerato, P�BLICO,"245,869","259,217","257,910","253,926","267,260","276,615","281,332","289,767","291,417","307,835","308,399","310,268","310,818","369,505","383,161","385,812","387,274","388,510","387,523","386,098","397,745","394,415","385,147","381,049","385,811"
Ciudad de Mexico,Bachillerato, PRIVADO,"93,244","97,899","97,502","90,049","89,497","82,184","81,731","80,806","78,041","77,828","79,291","81,443","78,366","86,841","86,100","86,237","88,410","86,997","81,822","78,776","56,082","64,453","66,146","67,415","68,844"
Durango,Preescolar, TOTAL,"50,037","48,325","52,300","53,541","57,899","60,542","66,631","72,863","66,701","66,102","66,004","67,910","68,918","70,603","71,901","72,560","73,800","72,212","71,265","71,923","67,933","65,404","65,307","64,409","63,280"
Durango,Preescolar, P�BLICO,"46,913","45,305","49,268","50,275","53,526","55,187","60,553","66,397","60,928","60,629","60,497","62,224","62,667","64,030","65,190","65,667","66,265","64,336","63,232","63,457","60,230","57,373","55,835","55,029","54,276"
Durango,Preescolar, PRIVADO,"3,124","3,020","3,032","3,266","4,373","5,355","6,078","6,466","5,773","5,473","5,507","5,686","6,251","6,573","6,711","6,893","7,535","7,876","8,033","8,466","7,703","8,031","9,472","9,380","9,004"
Durango,Primaria  , TOTAL,"230,454","228,816","228,525","227,223","224,838","223,308","221,201","218,419","224,058","225,350","224,979","226,607","225,519","224,313","217,927","217,139","217,321","217,683","219,762","220,565","219,167","215,285","213,596","213,029","211,875"
Durango,Primaria, P�BLICO,"219,960","217,906","217,820","216,701","214,346","212,811","210,424","207,834","213,160","214,740","214,652","216,342","214,860","213,385","206,952","205,868","205,479","205,620","207,364","207,484","207,449","202,780","199,717","198,539","197,063"
Durango,Primaria, PRIVADO,"10,494","10,910","10,705","10,522","10,492","10,497","10,777","10,585","10,898","10,610","10,327","10,265","10,659","10,928","10,975","11,271","11,842","12,063","12,398","13,081","11,718","12,505","13,879","14,490","14,812"
Durango,Secundaria, TOTAL,"80,709","82,856","86,324","88,321","90,054","90,850","94,266","94,631","94,635","93,313","93,819","95,601","96,903","96,353","102,113","102,617","103,199","96,624","95,690","95,015","94,766","95,182","96,459","98,642","99,946"
Durango,Secundaria, P�BLICO,"75,934","78,136","81,554","83,647","85,397","86,238","89,344","89,743","89,730","88,484","88,785","90,384","91,342","90,715","95,975","96,322","96,745","90,508","89,478","88,565","88,679","88,997","89,617","91,509","92,668"
Durango,Secundaria, PRIVADO,"4,775","4,720","4,770","4,674","4,657","4,612","4,922","4,888","4,905","4,829","5,034","5,217","5,561","5,638","6,138","6,295","6,454","6,116","6,212","6,450","6,087","6,185","6,842","7,133","7,278"
Durango,Bachillerato, TOTAL,"39,956","42,125","45,898","48,601","50,610","54,386","55,118","57,337","58,775","60,605","61,095","65,635","69,709","75,066","77,515","79,373","76,265","79,550","77,878","76,583","73,352","72,535","74,637","77,518","79,857"
Durango,Bachillerato, P�BLICO,"35,362","37,359","41,025","43,468","45,276","48,867","49,670","51,679","52,751","54,604","55,359","59,409","63,087","68,511","70,476","71,947","69,045","71,046","68,896","67,947","66,272","65,671","66,952","69,317","71,309"
Durango,Bachillerato, PRIVADO,"4,594","4,766","4,873","5,133","5,334","5,519","5,448","5,658","6,024","6,001","5,736","6,226","6,622","6,555","7,039","7,426","7,220","8,504","8,982","8,636","7,080","6,864","7,685","8,201","8,548"
Guanajuato,Preescolar, TOTAL,"206,680","204,943","211,090","217,136","206,906","221,829","255,391","270,443","248,986","241,527","234,520","237,683","238,937","241,151","243,808","244,806","257,933","254,417","250,837","248,493","231,077","225,035","233,290","226,971","228,008"
Guanajuato,Preescolar, P�BLICO,"180,578","178,129","183,371","187,967","179,114","188,942","217,834","230,825","213,175","207,547","203,504","205,491","206,364","207,633","211,021","211,622","223,595","218,178","214,998","213,455","208,442","202,083","205,390","199,225","199,546"
Guanajuato,Preescolar, PRIVADO,"26,102","26,814","27,719","29,169","27,792","32,887","37,557","39,618","35,811","33,980","31,016","32,192","32,573","33,518","32,787","33,184","34,338","36,239","35,839","35,038","22,635","22,952","27,900","27,746","28,462"
Guanajuato,Primaria  , TOTAL,"751,631","754,581","753,728","754,083","743,315","741,732","751,045","753,055","779,865","786,459","783,997","783,386","772,956","760,625","729,630","718,506","712,417","710,234","711,570","708,039","699,796","690,596","683,673","679,098","676,219"
Guanajuato,Primaria, P�BLICO,"693,195","694,345","692,918","691,067","680,760","678,489","686,626","688,191","712,616","719,384","717,014","716,353","705,407","691,925","662,803","651,402","644,508","640,972","640,899","637,364","638,767","629,000","619,466","613,378","610,146"
Guanajuato,Primaria, PRIVADO,"58,436","60,236","60,810","63,016","62,555","63,243","64,419","64,864","67,249","67,075","66,983","67,033","67,549","68,700","66,827","67,104","67,909","69,262","70,671","70,675","61,029","61,596","64,207","65,720","66,073"
Guanajuato,Secundaria, TOTAL,"255,871","259,647","266,029","272,384","274,138","277,745","285,536","294,295","297,493","303,544","308,479","316,097","324,885","331,727","359,569","363,294","357,882","331,742","323,084","316,464","317,134","312,794","310,334","314,019","317,228"
Guanajuato,Secundaria, P�BLICO,"229,797","232,978","239,318","246,194","249,784","252,211","259,276","267,494","270,125","275,663","280,201","286,690","294,071","299,087","324,483","327,511","321,439","296,319","287,832","281,692","285,721","281,844","278,329","281,151","283,930"
Guanajuato,Secundaria, PRIVADO,"26,074","26,669","26,711","26,190","24,354","25,534","26,260","26,801","27,368","27,881","28,278","29,407","30,814","32,640","35,086","35,783","36,443","35,423","35,252","34,772","31,413","30,950","32,005","32,868","33,298"
Guanajuato,Bachillerato, TOTAL,"102,234","110,510","117,820","122,698","123,240","124,484","132,357","134,532","141,725","149,341","156,806","164,738","169,342","204,874","210,775","227,815","231,920","251,699","255,012","251,993","234,633","228,187","235,308","239,437","241,868"
Guanajuato,Bachillerato, P�BLICO,"61,810","68,198","74,122","78,133","78,771","78,167","82,716","83,865","89,429","97,290","103,794","107,522","112,331","136,106","145,979","156,348","163,456","179,440","183,889","187,701","186,003","183,245","186,491","189,530","191,146"
Guanajuato,Bachillerato, PRIVADO,"40,424","42,312","43,698","44,565","44,469","46,317","49,641","50,667","52,296","52,051","53,012","57,216","57,011","68,768","64,796","71,467","68,464","72,259","71,123","64,292","48,630","44,942","48,817","49,907","50,722"
Guerrero,Preescolar, TOTAL,"141,966","140,201","144,299","150,482","163,335","167,883","183,060","183,212","183,533","180,881","181,767","181,844","184,302","186,977","191,265","192,529","194,861","187,758","181,919","176,599","168,806","164,471","167,848","162,856","161,764"
Guerrero,Preescolar, P�BLICO,"137,199","135,378","139,722","145,684","157,756","161,088","175,260","175,014","175,477","173,252","174,179","174,652","177,046","179,849","183,897","184,760","186,885","179,449","172,711","168,390","163,203","159,330","160,952","155,715","154,423"
Guerrero,Preescolar, PRIVADO,"4,767","4,823","4,577","4,798","5,579","6,795","7,800","8,198","8,056","7,629","7,588","7,192","7,256","7,128","7,368","7,769","7,976","8,309","9,208","8,209","5,603","5,141","6,896","7,141","7,341"
Guerrero,Primaria  , TOTAL,"561,931","562,265","563,538","563,699","556,954","548,641","540,498","539,213","534,217","527,269","524,292","520,834","513,028","499,821","488,113","478,919","466,377","456,199","447,925","442,877","439,496","430,709","422,275","408,727","398,111"
Guerrero,Primaria, P�BLICO,"546,204","546,463","547,854","547,624","540,826","532,778","524,884","523,227","518,261","511,257","508,630","506,093","498,246","485,430","473,371","463,636","450,687","440,435","432,140","426,931","425,816","417,166","406,857","393,169","382,636"
Guerrero,Primaria, PRIVADO,"15,727","15,802","15,684","16,075","16,128","15,863","15,614","15,986","15,956","16,012","15,662","14,741","14,782","14,391","14,742","15,283","15,690","15,764","15,785","15,946","13,680","13,543","15,418","15,558","15,475"
Guerrero,Secundaria, TOTAL,"169,687","171,984","177,595","181,521","183,506","186,261","192,731","198,643","206,230","205,193","205,057","203,557","202,906","211,114","218,831","220,002","214,217","207,863","201,421","194,054","189,188","184,425","183,392","185,627","186,407"
Guerrero,Secundaria, P�BLICO,"163,588","165,915","171,135","175,059","176,907","179,548","185,908","191,687","199,077","198,136","198,082","196,756","196,176","204,039","211,143","212,034","206,255","200,155","193,730","186,233","182,227","177,731","176,051","177,869","178,565"
Guerrero,Secundaria, PRIVADO,"6,099","6,069","6,460","6,462","6,599","6,713","6,823","6,956","7,153","7,057","6,975","6,801","6,730","7,075","7,688","7,968","7,962","7,708","7,691","7,821","6,961","6,694","7,341","7,758","7,842"
Guerrero,Bachillerato, TOTAL,"83,737","84,039","88,285","93,690","95,187","96,028","98,939","97,681","98,569","101,856","106,878","113,193","117,617","126,912","136,445","141,814","145,648","149,863","146,956","144,059","140,580","136,187","136,280","136,846","136,063"
Guerrero,Bachillerato, P�BLICO,"80,728","81,041","85,516","91,070","92,475","92,264","94,880","93,312","94,241","97,310","101,419","108,126","111,414","119,259","128,897","133,985","137,623","141,043","138,897","135,837","133,422","129,139","128,297","128,075","127,155"
Guerrero,Bachillerato, PRIVADO,"3,009","2,998","2,769","2,620","2,712","3,764","4,059","4,369","4,328","4,546","5,459","5,067","6,203","7,653","7,548","7,829","8,025","8,820","8,059","8,222","7,158","7,048","7,983","8,771","8,908"
Hidalgo,Preescolar, TOTAL,"79,394","76,849","80,197","82,438","95,417","106,137","113,833","114,448","114,513","116,757","116,999","117,743","119,852","119,802","119,541","119,307","121,103","120,790","118,280","112,916","103,379","98,211","99,309","97,242","96,910"
Hidalgo,Preescolar, P�BLICO,"74,640","72,081","74,991","77,171","87,302","94,728","101,485","101,800","101,941","104,412","104,419","104,849","106,641","106,155","105,816","105,762","106,964","103,379","100,334","98,608","94,689","91,202","88,909","86,229","84,703"
Hidalgo,Preescolar, PRIVADO,"4,754","4,768","5,206","5,267","8,115","11,409","12,348","12,648","12,572","12,345","12,580","12,894","13,211","13,647","13,725","13,545","14,139","17,411","17,946","14,308","8,690","7,009","10,400","11,013","12,207"
Hidalgo,Primaria  , TOTAL,"376,329","375,138","371,349","364,399","357,299","351,162","347,756","345,060","347,078","350,569","355,784","359,527","360,278","358,403","356,771","355,796","354,488","353,199","352,983","349,453","343,534","337,369","332,230","324,357","317,524"
Hidalgo,Primaria, P�BLICO,"356,180","353,845","349,554","342,384","335,324","329,092","325,397","322,526","324,090","327,052","331,396","333,836","333,577","331,120","329,011","327,661","325,523","323,531","322,501","318,513","317,096","311,597","302,759","293,594","286,790"
Hidalgo,Primaria, PRIVADO,"20,149","21,293","21,795","22,015","21,975","22,070","22,359","22,534","22,988","23,517","24,388","25,691","26,701","27,283","27,760","28,135","28,965","29,668","30,482","30,940","26,438","25,772","29,471","30,763","30,734"
Hidalgo,Secundaria, TOTAL,"146,275","150,152","152,561","155,291","158,419","160,566","162,979","164,024","162,376","157,651","154,709","155,400","160,144","165,102","169,923","172,417","173,515","173,590","172,720","171,896","171,868","169,276","168,950","170,660","170,773"
Hidalgo,Secundaria, P�BLICO,"138,833","142,111","144,627","147,415","150,623","152,843","155,028","155,763","154,067","149,594","146,535","146,969","151,056","155,368","159,506","161,442","162,136","161,896","160,585","159,565","160,323","157,585","156,174","157,310","157,312"
Hidalgo,Secundaria, PRIVADO,"7,442","8,041","7,934","7,876","7,796","7,723","7,951","8,261","8,309","8,057","8,174","8,431","9,088","9,734","10,417","10,975","11,379","11,694","12,135","12,331","11,545","11,691","12,776","13,350","13,461"
Hidalgo,Bachillerato, TOTAL,"64,682","69,576","76,292","81,851","85,995","89,303","91,172","92,973","96,147","100,494","104,163","106,208","108,427","115,393","121,984","128,425","133,467","136,547","138,684","140,295","140,046","134,120","136,148","141,299","145,588"
Hidalgo,Bachillerato, P�BLICO,"52,521","56,673","62,347","67,038","70,252","72,545","73,263","75,179","78,227","82,058","85,384","87,286","89,746","92,065","100,295","108,622","113,895","116,189","117,329","119,692","122,169","118,409","120,246","123,821","127,474"
Hidalgo,Bachillerato, PRIVADO,"12,161","12,903","13,945","14,813","15,743","16,758","17,909","17,794","17,920","18,436","18,779","18,922","18,681","23,328","21,689","19,803","19,572","20,358","21,355","20,603","17,877","15,711","15,902","17,478","18,114"
Jalisco,Preescolar, TOTAL,"219,191","227,679","239,633","246,252","263,616","304,849","321,380","323,204","314,185","312,542","311,663","313,896","314,250","313,598","316,726","318,345","322,396","324,626","319,223","316,384","287,323","281,773","286,070","278,636","279,579"
Jalisco,Preescolar, P�BLICO,"201,218","206,646","216,902","218,843","228,759","241,657","251,614","257,491","254,586","255,958","256,839","258,555","259,830","258,799","261,730","262,278","264,758","262,657","256,869","252,843","242,338","233,909","232,208","223,608","224,337"
Jalisco,Preescolar, PRIVADO,"17,973","21,033","22,731","27,409","34,857","63,192","69,766","65,713","59,599","56,584","54,824","55,341","54,420","54,799","54,996","56,067","57,638","61,969","62,354","63,541","44,985","47,864","53,862","55,028","55,242"
Jalisco,Primaria  , TOTAL,"944,209","938,119","931,286","919,030","907,628","898,642","920,956","936,625","956,618","971,780","983,740","992,075","975,349","959,837","942,177","933,684","932,044","932,235","935,421","934,860","933,180","933,401","915,227","896,167","881,536"
Jalisco,Primaria, P�BLICO,"837,424","828,135","820,635","809,971","801,319","795,117","815,179","829,804","849,663","865,512","876,625","882,903","866,677","852,362","837,596","828,116","823,649","822,519","823,444","821,019","828,215","824,503","799,849","778,243","763,921"
Jalisco,Primaria, PRIVADO,"106,785","109,984","110,651","109,059","106,309","103,525","105,777","106,821","106,955","106,268","107,115","109,172","108,672","107,475","104,581","105,568","108,395","109,716","111,977","113,841","104,965","108,898","115,378","117,924","117,615"
Jalisco,Secundaria, TOTAL,"341,043","346,327","356,579","362,602","367,113","370,483","373,732","374,763","378,326","376,080","375,874","379,234","404,404","427,506","450,204","441,683","431,864","417,946","416,330","413,690","416,574","416,478","412,210","417,356","421,541"
Jalisco,Secundaria, P�BLICO,"304,527","308,048","317,467","323,498","328,584","332,494","335,705","337,063","340,054","337,759","336,920","339,658","364,003","383,564","403,654","391,496","384,846","368,358","366,261","363,423","368,857","367,911","361,101","363,678","366,965"
Jalisco,Secundaria, PRIVADO,"36,516","38,279","39,112","39,104","38,529","37,989","38,027","37,700","38,272","38,321","38,954","39,576","40,401","43,942","46,550","50,187","47,018","49,588","50,069","50,267","47,717","48,567","51,109","53,678","54,576"
Jalisco,Bachillerato, TOTAL,"164,015","162,837","177,138","183,966","187,813","193,381","199,055","200,147","213,744","216,398","227,717","235,704","239,013","281,440","284,116","296,323","305,245","313,718","320,330","312,449","308,124","307,871","316,255","324,699","328,183"
Jalisco,Bachillerato, P�BLICO,"123,450","119,749","130,875","136,151","137,709","145,004","151,109","155,386","172,124","175,724","185,363","189,615","193,271","217,008","222,404","229,249","233,506","238,942","242,615","242,513","252,021","257,673","264,522","269,853","272,535"
Jalisco,Bachillerato, PRIVADO,"40,565","43,088","46,263","47,815","50,104","48,377","47,946","44,761","41,620","40,674","42,354","46,089","45,742","64,432","61,712","67,074","71,739","74,776","77,715","69,936","56,103","50,198","51,733","54,846","55,648"
Mexico,Preescolar, TOTAL,"317,810","320,087","355,582","381,763","483,139","551,173","563,507","562,057","563,308","564,571","575,709","580,361","580,341","587,256","578,509","574,906","591,497","582,681","567,349","557,038","484,703","457,728","491,313","464,831","462,115"
Mexico,Preescolar, P�BLICO,"300,947","303,771","337,427","356,965","395,423","423,654","433,809","440,277","444,095","452,288","462,930","467,685","468,882","467,774","462,331","458,860","482,697","474,845","461,880","454,195","425,288","402,037","419,409","393,041","390,222"
Mexico,Preescolar, PRIVADO,"16,863","16,316","18,155","24,798","87,716","127,519","129,698","121,780","119,213","112,283","112,779","112,676","111,459","119,482","116,178","116,046","108,800","107,836","105,469","102,843","59,415","55,691","71,904","71,790","71,893"
Mexico,Primaria  , TOTAL,"1,913,616","1,930,568","1,929,358","1,917,393","1,906,143","1,897,861","1,899,635","1,902,967","1,919,687","1,936,200","1,953,149","1,962,618","1,961,234","1,954,698","1,946,476","1,936,448","1,917,237","1,894,990","1,875,895","1,842,353","1,783,617","1,719,960","1,704,384","1,661,923","1,623,754"
Mexico,Primaria, P�BLICO,"1,763,726","1,773,514","1,769,654","1,757,443","1,747,888","1,741,913","1,743,552","1,746,121","1,762,755","1,779,140","1,793,831","1,800,081","1,796,262","1,787,362","1,779,277","1,767,753","1,745,864","1,720,667","1,698,216","1,665,373","1,629,382","1,565,319","1,540,953","1,496,007","1,459,346"
Mexico,Primaria, PRIVADO,"149,890","157,054","159,704","159,950","158,255","155,948","156,083","156,846","156,932","157,060","159,318","162,537","164,972","167,336","167,199","168,695","171,373","174,323","177,679","176,980","154,235","154,641","163,431","165,916","164,408"
Mexico,Secundaria, TOTAL,"718,539","734,580","760,567","782,497","807,305","820,488","831,062","833,220","827,809","816,274","816,756","828,620","854,582","880,624","900,392","904,927","903,389","899,115","897,578","891,889","876,940","857,837","845,366","840,967","835,787"
Mexico,Secundaria, P�BLICO,"668,818","680,954","704,946","727,524","752,446","765,867","775,092","777,262","770,983","759,544","759,261","769,101","791,936","814,869","833,296","836,407","834,233","829,389","826,113","819,452","808,260","788,193","774,988","768,627","763,491"
Mexico,Secundaria, PRIVADO,"49,721","53,626","55,621","54,973","54,859","54,621","55,970","55,958","56,826","56,730","57,495","59,519","62,646","65,755","67,096","68,520","69,156","69,726","71,465","72,437","68,680","69,644","70,378","72,340","72,296"
Mexico,Bachillerato, TOTAL,"280,829","303,264","329,556","344,781","358,651","374,266","394,373","407,488","422,661","443,547","461,226","478,558","491,444","564,381","592,816","617,918","640,965","655,543","663,748","667,904","656,650","645,540","664,929","674,176","680,373"
Mexico,Bachillerato, P�BLICO,"218,644","230,209","248,440","264,784","279,297","295,051","313,307","327,471","339,933","359,472","377,794","393,243","406,517","462,981","491,827","519,105","536,879","547,071","551,270","556,394","559,983","555,375","571,493","582,066","587,646"
Mexico,Bachillerato, PRIVADO,"62,185","73,055","81,116","79,997","79,354","79,215","81,066","80,017","82,728","84,075","83,432","85,315","84,927","101,400","100,989","98,813","104,086","108,472","112,478","111,510","96,667","90,165","93,436","92,110","92,727"
Michoacan ,Preescolar, TOTAL,"128,233","127,713","143,882","147,707","157,687","166,256","170,303","175,391","175,391","178,309","183,598","183,747","190,106","197,023","201,708","204,080","208,606","212,492","211,272","201,868","189,542","181,922","184,046","183,851","186,747"
Michoacan ,Preescolar, P�BLICO,"117,449","117,202","132,332","134,318","142,933","149,558","153,366","157,498","157,498","160,419","165,441","165,857","171,632","178,067","182,483","184,404","187,326","186,562","183,923","174,085","169,704","163,289","161,924","161,378","163,530"
Michoacan ,Preescolar, PRIVADO,"10,784","10,511","11,550","13,389","14,754","16,698","16,937","17,893","17,893","17,890","18,157","17,890","18,474","18,956","19,225","19,676","21,280","25,930","27,349","27,783","19,838","18,633","22,122","22,473","23,217"
Michoacan ,Primaria  , TOTAL,"678,608","664,434","655,702","643,020","617,123","610,309","603,944","586,700","586,700","583,830","566,046","559,798","557,306","570,009","565,863","562,396","559,139","553,988","556,972","551,140","542,035","531,531","540,950","533,580","528,185"
Michoacan ,Primaria, P�BLICO,"620,254","606,166","598,302","585,396","561,207","554,214","548,165","531,190","531,190","528,902","511,541","506,117","502,196","514,470","510,550","506,405","500,415","493,491","494,279","487,700","485,911","475,174","480,721","472,460","466,877"
Michoacan ,Primaria, PRIVADO,"58,354","58,268","57,400","57,624","55,916","56,095","55,779","55,510","55,510","54,928","54,505","53,681","55,110","55,539","55,313","55,991","58,724","60,497","62,693","63,440","56,124","56,357","60,229","61,120","61,308"
Michoacan ,Secundaria, TOTAL,"212,785","219,674","229,031","231,551","233,414","234,366","235,759","233,440","233,440","230,942","233,960","235,350","235,591","240,934","242,062","239,794","239,426","237,345","235,828","227,095","225,770","218,035","222,424","230,080","234,814"
Michoacan ,Secundaria, P�BLICO,"196,619","203,125","211,499","214,227","216,360","217,252","218,771","215,658","215,658","212,448","214,963","216,001","215,574","220,115","220,777","218,083","216,501","213,279","210,631","201,420","201,453","193,895","196,999","203,271","207,175"
Michoacan ,Secundaria, PRIVADO,"16,166","16,549","17,532","17,324","17,054","17,114","16,988","17,782","17,782","18,494","18,997","19,349","20,017","20,819","21,285","21,711","22,925","24,066","25,197","25,675","24,317","24,140","25,425","26,809","27,639"
Michoacan ,Bachillerato, TOTAL,"78,766","85,156","94,732","98,988","93,888","104,306","110,356","112,963","112,963","115,617","121,841","131,547","143,366","170,959","174,657","172,714","173,323","172,800","170,762","165,761","162,143","153,506","164,956","169,450","174,013"
Michoacan ,Bachillerato, P�BLICO,"60,324","65,836","73,846","77,118","73,258","81,858","87,260","88,662","88,662","90,411","96,464","106,162","114,143","131,716","135,027","134,737","133,754","130,905","127,863","129,665","127,798","122,725","129,648","134,122","137,580"
Michoacan ,Bachillerato, PRIVADO,"18,442","19,320","20,886","21,870","20,630","22,448","23,096","24,301","24,301","25,206","25,377","25,385","29,223","39,243","39,630","37,977","39,569","41,895","42,899","36,096","34,345","30,781","35,308","35,328","36,433"
Morelos,Preescolar, TOTAL,"48,758","48,367","50,143","51,744","56,848","60,471","65,477","62,632","64,209","65,935","67,353","68,373","68,407","68,639","68,662","68,646","69,685","69,250","67,697","68,085","57,867","55,231","58,884","56,844","56,926"
Morelos,Preescolar, P�BLICO,"43,142","42,221","43,865","45,085","47,165","49,030","52,211","49,707","50,683","52,251","53,178","53,907","53,553","53,565","53,567","53,587","53,833","52,914","50,961","51,232","48,612","45,795","45,772","43,497","43,507"
Morelos,Preescolar, PRIVADO,"5,616","6,146","6,278","6,659","9,683","11,441","13,266","12,925","13,526","13,684","14,175","14,466","14,854","15,074","15,095","15,059","15,852","16,336","16,736","16,853","9,255","9,436","13,112","13,347","13,419"
Morelos,Primaria  , TOTAL,"218,743","220,890","221,664","222,031","221,378","218,867","217,367","223,978","220,390","222,979","225,823","226,946","225,112","217,430","214,942","212,545","210,789","208,721","206,675","204,874","201,222","197,511","195,107","190,972","186,551"
Morelos,Primaria, P�BLICO,"202,521","203,887","204,239","204,258","203,236","200,534","198,147","203,331","194,059","197,631","200,469","201,391","199,396","192,341","189,925","187,407","184,675","181,863","177,822","176,734","176,795","172,417","167,529","163,448","159,180"
Morelos,Primaria, PRIVADO,"16,222","17,003","17,425","17,773","18,142","18,333","19,220","20,647","26,331","25,348","25,354","25,555","25,716","25,089","25,017","25,138","26,114","26,858","28,853","28,140","24,427","25,094","27,578","27,524","27,371"
Morelos,Secundaria, TOTAL,"88,104","88,880","92,540","93,005","93,278","93,581","97,353","99,542","97,547","97,201","96,059","95,709","98,153","105,918","108,067","107,031","101,925","100,323","99,756","97,878","96,803","93,783","93,267","93,858","94,264"
Morelos,Secundaria, P�BLICO,"81,187","81,596","85,028","85,167","85,381","85,727","89,036","90,883","85,635","86,570","85,618","85,367","87,569","94,292","96,056","94,986","90,230","88,861","87,675","85,784","85,501","82,011","80,857","81,153","81,409"
Morelos,Secundaria, PRIVADO,"6,917","7,284","7,512","7,838","7,897","7,854","8,317","8,659","11,912","10,631","10,441","10,342","10,584","11,626","12,011","12,045","11,695","11,462","12,081","12,094","11,302","11,772","12,410","12,705","12,855"
Morelos,Bachillerato, TOTAL,"45,439","47,205","49,706","51,597","52,798","55,247","54,582","54,982","55,093","57,732","60,218","62,783","62,208","68,978","72,584","78,496","80,333","81,182","81,502","76,924","71,972","68,303","71,863","74,050","75,896"
Morelos,Bachillerato, P�BLICO,"34,482","35,896","37,371","38,317","39,472","40,904","41,126","41,475","41,900","44,290","45,956","47,711","46,752","49,397","53,439","58,280","57,632","58,862","58,798","56,427","54,419","52,112","54,704","56,641","58,070"
Morelos,Bachillerato, PRIVADO,"10,957","11,309","12,335","13,280","13,326","14,343","13,456","13,507","13,193","13,442","14,262","15,072","15,456","19,581","19,145","20,216","22,701","22,320","22,704","20,497","17,553","16,191","17,159","17,409","17,826"
Nayarit,Preescolar, TOTAL,"35,509","33,907","35,024","36,218","38,566","40,065","43,764","42,424","43,982","44,452","45,051","46,507","47,607","47,577","47,347","46,971","49,213","49,151","47,035","47,006","44,470","42,968","45,259","44,547","44,921"
Nayarit,Preescolar, P�BLICO,"33,364","31,789","32,746","33,955","35,865","37,316","40,274","38,724","40,138","40,940","41,594","42,759","43,349","43,263","43,080","42,465","45,081","43,915","41,732","41,665","40,552","38,827","40,542","39,660","40,038"
Nayarit,Preescolar, PRIVADO,"2,145","2,118","2,278","2,263","2,701","2,749","3,490","3,700","3,844","3,512","3,457","3,748","4,258","4,314","4,267","4,506","4,132","5,236","5,303","5,341","3,918","4,141","4,717","4,887","4,883"
Nayarit,Primaria  , TOTAL,"132,832","131,338","130,890","130,066","130,079","130,315","129,385","133,428","134,688","136,588","137,069","138,566","139,307","136,500","136,593","137,067","136,775","138,294","138,138","139,290","138,053","135,549","134,566","131,995","129,145"
Nayarit,Primaria, P�BLICO,"127,237","125,636","124,947","124,132","124,135","124,281","123,318","127,054","128,214","129,833","130,220","130,916","131,327","128,242","128,259","128,243","128,864","128,772","128,553","130,053","129,875","127,206","125,322","122,396","119,567"
Nayarit,Primaria, PRIVADO,"5,595","5,702","5,943","5,934","5,944","6,034","6,067","6,374","6,474","6,755","6,849","7,650","7,980","8,258","8,334","8,824","7,911","9,522","9,585","9,237","8,178","8,343","9,244","9,599","9,578"
Nayarit,Secundaria, TOTAL,"56,585","56,815","57,182","56,479","55,178","54,598","55,317","58,127","59,928","59,683","58,449","58,684","60,349","64,223","65,719","65,275","61,911","61,335","61,737","62,705","63,703","63,452","63,533","64,662","65,990"
Nayarit,Secundaria, P�BLICO,"54,847","54,996","55,331","54,568","53,246","52,674","53,292","56,119","57,927","57,556","56,315","56,209","57,732","61,113","62,317","61,523","58,313","57,469","57,777","58,723","59,851","59,572","59,421","60,362","61,561"
Nayarit,Secundaria, PRIVADO,"1,738","1,819","1,851","1,911","1,932","1,924","2,025","2,008","2,001","2,127","2,134","2,475","2,617","3,110","3,402","3,752","3,598","3,866","3,960","3,982","3,852","3,880","4,112","4,300","4,429"
Nayarit,Bachillerato, TOTAL,"25,670","26,407","26,703","28,332","29,475","30,615","30,528","31,527","31,943","34,136","36,425","36,296","39,091","47,387","47,344","48,150","52,014","52,152","51,308","50,413","51,092","48,786","51,132","55,654","58,806"
Nayarit,Bachillerato, P�BLICO,"22,101","22,865","23,263","24,781","25,951","26,988","26,928","27,887","28,477","30,544","32,738","32,601","34,900","39,942","40,633","40,783","43,645","42,970","42,600","41,760","41,007","39,828","42,035","43,617","45,874"
Nayarit,Bachillerato, PRIVADO,"3,569","3,542","3,440","3,551","3,524","3,627","3,600","3,640","3,466","3,592","3,687","3,695","4,191","7,445","6,711","7,367","8,369","9,182","8,708","8,653","10,085","8,958","9,097","12,037","12,932"
Nuevo Leon ,Preescolar, TOTAL,"128,988","129,922","141,726","148,034","154,844","196,416","218,429","209,275","199,207","194,202","195,107","196,175","199,370","200,762","201,157","201,804","205,045","203,634","205,359","209,278","192,705","182,729","197,330","195,698","198,682"
Nuevo Leon ,Preescolar, P�BLICO,"99,367","98,966","106,999","110,338","112,174","144,795","164,856","157,959","152,677","151,741","153,795","155,574","158,620","160,029","160,256","159,729","161,753","158,012","159,381","162,877","160,331","153,379","159,162","156,483","158,663"
