Estado,Sector ,Tipo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Baja California Sur,Preescolar, P�BLICO,"15,202","14,671","15,970","16,265","16,661","18,141","20,356","20,116","20,705","20,742","21,217","21,830","23,006","22,888","22,716","22,570","24,186","23,850","24,152","24,555","23,395","20,947","21,265","21,685","21,867"
Baja California Sur,Preescolar, PRIVADO,"1,570","1,638","1,727","1,666","2,529","2,941","3,352","3,667","3,731","3,299","3,350","3,189","3,465","3,673","3,731","3,912","4,096","4,631","4,497","4,796","2,687","2,980","3,815","4,067","4,510"
Baja California Sur,Primaria  , TOTAL,"60,953","62,112","63,695","65,025","66,670","68,029","70,782","75,690","78,287","79,859","80,703","81,225","81,469","80,136","80,324","80,875","81,706","82,692","84,030","85,672","83,662","82,697","82,593","82,454","81,985"
Baja California Sur,Primaria, P�BLICO,"57,078","58,129","59,621","60,611","62,077","63,167","65,376","69,593","71,613","73,592","74,162","74,769","74,982","73,718","73,594","73,582","73,980","74,456","75,399","76,819","76,458","75,135","73,500","72,814","72,144"
Baja California Sur,Primaria, PRIVADO,"3,875","3,983","4,074","4,414","4,593","4,862","5,406","6,097","6,674","6,267","6,541","6,456","6,487","6,418","6,730","7,293","7,726","8,236","8,631","8,853","7,204","7,562","9,093","9,640","9,841"
Baja California Sur,Secundaria, TOTAL,"23,752","24,818","25,489","26,243","26,790","27,779","29,307","30,663","31,746","31,873","32,555","33,512","34,688","37,543","39,079","39,223","38,493","38,268","38,516","39,203","40,608","40,815","40,939","41,875","42,856"
Baja California Sur,Secundaria, P�BLICO,"22,455","23,495","24,201","24,904","25,308","26,177","27,421","28,452","29,395","29,423","30,102","30,973","32,008","34,736","36,150","36,003","35,073","34,787","34,989","35,564","37,195","37,310","37,125","37,488","38,270"
Baja California Sur,Secundaria, PRIVADO,"1,297","1,323","1,288","1,339","1,482","1,602","1,886","2,211","2,351","2,450","2,453","2,539","2,680","2,807","2,929","3,220","3,420","3,481","3,527","3,639","3,413","3,505","3,814","4,387","4,586"
Baja California Sur,Bachillerato, TOTAL,"14,467","15,393","16,560","17,492","18,442","19,043","19,324","19,726","20,629","21,669","23,247","24,554","25,621","29,458","29,227","30,661","32,729","34,275","34,522","34,467","33,870","32,314","33,423","36,012","36,982"
Baja California Sur,Bachillerato, P�BLICO,"13,360","14,364","15,289","16,066","16,826","17,284","17,497","17,595","18,351","19,256","20,896","22,182","23,210","27,039","26,834","27,982","29,675","31,080","31,401","31,573","31,265","29,881","30,609","32,767","33,589"
Baja California Sur,Bachillerato, PRIVADO,"1,107","1,029","1,271","1,426","1,616","1,759","1,827","2,131","2,278","2,413","2,351","2,372","2,411","2,419","2,393","2,679","3,054","3,195","3,121","2,894","2,605","2,433","2,814","3,245","3,393"
Campeche,Preescolar, TOTAL,"26,929","26,545","26,615","26,780","27,938","29,187","31,185","32,824","33,204","32,730","33,437","33,995","34,777","36,072","36,817","36,653","37,957","38,761","39,085","38,165","34,356","31,435","32,886","32,248","31,658"
Campeche,Preescolar, P�BLICO,"25,301","24,913","24,898","24,657","25,623","26,871","28,312","29,795","29,681","29,241","30,070","30,716","31,158","32,256","32,684","32,726","34,022","33,882","34,146","34,530","32,277","29,626","30,356","29,668","29,066"
Campeche,Preescolar, PRIVADO,"1,628","1,632","1,717","2,123","2,315","2,316","2,873","3,029","3,523","3,489","3,367","3,279","3,619","3,816","4,133","3,927","3,935","4,879","4,939","3,635","2,079","1,809","2,530","2,580","2,592"
Campeche,Primaria  , TOTAL,"106,834","106,396","106,830","106,473","106,002","105,032","104,870","104,088","105,809","106,430","107,146","106,651","105,830","105,425","103,044","102,279","101,286","100,377","99,894","100,482","100,121","98,844","98,212","96,693","95,280"
Campeche,Primaria, P�BLICO,"102,638","101,993","102,045","101,414","100,671","99,628","99,124","98,024","99,328","99,337","99,860","99,129","97,953","97,126","94,707","94,190","93,401","92,723","92,384","92,924","93,103","92,013","90,844","89,181","87,821"
Campeche,Primaria, PRIVADO,"4,196","4,403","4,785","5,059","5,331","5,404","5,746","6,064","6,481","7,093","7,286","7,522","7,877","8,299","8,337","8,089","7,885","7,654","7,510","7,558","7,018","6,831","7,368","7,512","7,459"
Campeche,Secundaria, TOTAL,"39,186","39,966","40,887","41,216","41,681","41,968","42,524","42,440","42,696","42,894","43,526","43,663","44,287","45,412","48,185","48,532","48,015","45,901","45,293","44,556","45,736","44,924","44,702","45,439","45,965"
Campeche,Secundaria, P�BLICO,"36,070","36,492","37,187","37,454","37,907","38,124","38,501","38,353","38,493","38,597","39,074","39,048","39,258","39,963","41,978","42,232","41,983","40,556","40,218","39,586","41,071","40,500","40,093","40,463","40,790"
Campeche,Secundaria, PRIVADO,"3,116","3,474","3,700","3,762","3,774","3,844","4,023","4,087","4,203","4,297","4,452","4,615","5,029","5,449","6,207","6,300","6,032","5,345","5,075","4,970","4,665","4,424","4,609","4,976","5,175"
Campeche,Bachillerato, TOTAL,"21,861","23,325","24,162","25,673","26,514","26,939","26,780","26,589","26,951","27,756","28,350","28,880","30,197","32,911","33,316","34,500","35,761","36,613","37,648","37,740","36,475","35,504","36,452","36,762","37,146"
Campeche,Bachillerato, P�BLICO,"20,438","21,879","22,680","23,653","24,303","24,449","24,341","24,458","24,913","25,476","25,955","26,333","27,597","29,900","30,178","31,252","32,842","33,739","34,673","34,936","34,000","33,199","34,037","34,266","34,613"
Campeche,Bachillerato, PRIVADO,"1,423","1,446","1,482","2,020","2,211","2,490","2,439","2,131","2,038","2,280","2,395","2,547","2,600","3,011","3,138","3,248","2,919","2,874","2,975","2,804","2,475","2,305","2,415","2,496","2,533"
Coahuila,Preescolar, TOTAL,"86,848","87,565","92,871","97,004","103,972","113,895","122,312","129,236","115,487","114,488","118,669","120,165","122,632","120,466","119,336","120,673","123,614","128,423","123,618","128,591","129,840","127,747","129,935","128,475","129,605"
Coahuila,Preescolar, P�BLICO,"74,647","75,198","78,830","82,618","88,014","95,869","101,939","108,036","96,411","97,363","100,384","100,710","102,053","99,986","98,347","99,245","100,987","103,769","100,396","104,251","111,751","106,946","105,903","103,325","103,583"
Coahuila,Preescolar, PRIVADO,"12,201","12,367","14,041","14,386","15,958","18,026","20,373","21,200","19,076","17,125","18,285","19,455","20,579","20,480","20,989","21,428","22,627","24,654","23,222","24,340","18,089","20,801","24,032","25,150","26,022"
Coahuila,Primaria  , TOTAL,"322,701","327,960","330,565","333,181","335,330","336,028","338,482","342,233","361,315","354,684","364,594","364,585","363,755","361,650","338,570","337,794","335,432","337,136","337,113","338,573","329,075","323,947","327,171","335,176","342,063"
Coahuila,Primaria, P�BLICO,"291,923","296,234","299,375","300,882","302,955","303,726","305,651","308,649","325,565","319,889","328,828","327,835","325,533","322,225","300,123","298,127","294,236","294,308","293,215","293,751","289,422","284,057","283,520","289,806","294,786"
Coahuila,Primaria, PRIVADO,"30,778","31,726","31,190","32,299","32,375","32,302","32,831","33,584","35,750","34,795","35,766","36,750","38,222","39,425","38,447","39,667","41,196","42,828","43,898","44,822","39,653","39,890","43,651","45,370","47,277"
Coahuila,Secundaria, TOTAL,"127,188","129,910","133,573","134,800","138,240","142,697","146,149","149,134","149,839","149,485","148,731","148,532","153,643","155,021","168,328","171,861","168,621","155,316","154,182","154,343","157,186","157,052","153,963","155,256","157,762"
Coahuila,Secundaria, P�BLICO,"111,591","113,619","117,173","118,582","122,028","126,468","129,473","132,357","132,948","133,170","132,099","131,483","135,460","135,820","145,992","148,601","144,910","132,749","131,663","131,416","135,857","135,405","131,699","131,396","132,861"
Coahuila,Secundaria, PRIVADO,"15,597","16,291","16,400","16,218","16,212","16,229","16,676","16,777","16,891","16,315","16,632","17,049","18,183","19,201","22,336","23,260","23,711","22,567","22,519","22,927","21,329","21,647","22,264","23,860","24,901"
Coahuila,Bachillerato, TOTAL,"55,299","57,614","62,132","65,333","67,327","69,298","71,427","74,203","77,265","79,104","82,553","85,130","86,658","96,449","100,164","108,103","113,612","125,346","125,715","120,632","112,678","109,710","113,514","114,910","115,198"
Coahuila,Bachillerato, P�BLICO,"35,551","37,297","40,745","43,074","44,825","45,967","47,347","49,786","52,607","56,324","57,780","58,249","58,595","66,658","69,366","76,456","81,350","89,398","88,798","86,634","82,988","81,360","82,768","83,496","83,513"
Coahuila,Bachillerato, PRIVADO,"19,748","20,317","21,387","22,259","22,502","23,331","24,080","24,417","24,658","22,780","24,773","26,881","28,063","29,791","30,798","31,647","32,262","35,948","36,917","33,998","29,690","28,350","30,746","31,414","31,685"
Collima,Preescolar, TOTAL,"19,604","20,183","21,274","21,681","20,006","24,041","22,038","24,726","25,702","23,842","23,769","23,850","23,847","24,840","24,966","25,000","24,854","24,863","24,448","25,271","22,792","21,797","22,483","22,180","21,715"
Collima,Preescolar, P�BLICO,"18,169","18,249","19,300","19,324","17,573","21,679","20,009","22,356","23,494","21,839","21,677","21,697","21,522","22,405","22,543","22,469","22,108","20,718","20,093","20,440","18,818","17,495","17,545","17,032","16,291"
Collima,Preescolar, PRIVADO,"1,435","1,934","1,974","2,357","2,433","2,362","2,029","2,370","2,208","2,003","2,092","2,153","2,325","2,435","2,423","2,531","2,746","4,145","4,355","4,831","3,974","4,302","4,938","5,148","5,424"
Collima,Primaria  , TOTAL,"76,982","76,670","76,665","76,432","74,950","72,351","70,864","70,347","70,919","74,731","77,035","79,855","80,508","80,779","80,846","78,751","77,776","76,756","76,057","75,793","74,563","72,904","71,291","69,951","68,417"
Collima,Primaria, P�BLICO,"71,137","70,769","70,836","70,706","69,328","66,973","65,668","65,125","65,560","69,224","71,355","74,001","74,369","74,849","74,830","72,702","71,596","69,466","68,616","68,278","67,850","65,527","63,114","61,177","59,547"
Collima,Primaria, PRIVADO,"5,845","5,901","5,829","5,726","5,622","5,378","5,196","5,222","5,359","5,507","5,680","5,854","6,139","5,930","6,016","6,049","6,180","7,290","7,441","7,515","6,713","7,377","8,177","8,774","8,870"
Collima,Secundaria, TOTAL,"30,379","31,310","31,456","30,958","29,934","29,934","32,665","33,992","34,721","33,538","32,810","31,668","32,018","32,995","35,243","37,298","37,663","37,424","35,286","34,814","34,808","34,998","33,951","34,619","35,440"
Collima,Secundaria, P�BLICO,"28,489","29,409","29,561","29,110","28,162","28,257","30,916","32,209","32,896","31,761","31,008","29,788","30,040","31,139","32,974","34,819","35,108","34,791","32,763","32,125","32,200","32,330","31,038","31,442","31,984"
Collima,Secundaria, PRIVADO,"1,890","1,901","1,895","1,848","1,772","1,677","1,749","1,783","1,825","1,777","1,802","1,880","1,978","1,856","2,269","2,479","2,555","2,633","2,523","2,689","2,608","2,668","2,913","3,177","3,456"
Collima,Bachillerato, TOTAL,"15,572","16,174","17,127","17,969","18,520","18,802","18,868","18,931","19,925","22,390","23,654","24,065","23,583","27,212","27,137","28,239","28,696","29,529","31,123","31,808","29,760","28,390","29,663","30,081","30,550"
Collima,Bachillerato, P�BLICO,"13,852","14,319","15,227","16,069","16,611","16,854","17,060","17,144","18,039","20,063","21,216","21,332","20,366","21,797","21,910","22,874","23,474","23,831","25,110","25,545","25,667","23,712","24,229","24,689","25,025"
Collima,Bachillerato, PRIVADO,"1,720","1,855","1,900","1,900","1,909","1,948","1,808","1,787","1,886","2,327","2,438","2,733","3,217","5,415","5,227","5,365","5,222","5,698","6,013","6,263","4,093","4,678","5,434","5,392","5,525"
